epoch,train_loss,val_loss,is_best,best_epoch
1,0.7376580709634826,0.7251471877098083,True,18
2,0.48642114705817646,0.728620171546936,False,18
3,0.442050957055979,0.6828011870384216,True,18
4,0.42180358497209325,0.689293622970581,False,18
5,0.4094749228205792,0.6482829451560974,True,18
6,0.4011160114476847,0.6620924472808838,False,18
7,0.39793732381144237,0.6540835499763489,False,18
8,0.39660906479802244,0.6613935232162476,False,18
9,0.3890730062889498,0.6700584888458252,False,18
10,0.3860252412945725,0.6623287200927734,False,18
11,0.3822732460360194,0.6477779746055603,True,18
12,0.3807306067888127,0.6578184366226196,False,18
13,0.3791150461102641,0.6472190022468567,True,18
14,0.37525048366812774,0.6475545763969421,False,18
15,0.37418303759985194,0.654857873916626,False,18
16,0.37509465979975326,0.6478602290153503,False,18
17,0.3702822823164075,0.6536019444465637,False,18
18,0.3713200625985168,0.6349080801010132,True,18
19,0.36793648260970446,0.6382026076316833,False,18
20,0.3669637756985287,0.6448901295661926,False,18
21,0.36507316141627555,0.6467763781547546,False,18
22,0.36264563473158107,0.6409597396850586,False,18
23,0.3652553575676541,0.6445046663284302,False,18
24,0.3617910531371139,0.6535060405731201,False,18
25,0.36082736905231033,0.648493766784668,False,18
26,0.3591079642606336,0.6468731760978699,False,18
27,0.35855507538762205,0.6521762013435364,False,18
28,0.3569090255471163,0.6494889259338379,False,18
29,0.35586955831494443,0.6522236466407776,False,18
30,0.35512259845123734,0.6495866775512695,False,18
31,0.3533831484789072,0.6365447640419006,False,18
32,0.35300389209458993,0.6525865793228149,False,18
33,0.35434190582397374,0.652382493019104,False,18
34,0.35475468912789987,0.6510925889015198,False,18
35,0.35628345539403516,0.6525827646255493,False,18
36,0.3520871390436971,0.655471682548523,False,18
37,0.351088093117226,0.6599897742271423,False,18
38,0.35014472901821136,0.6526802778244019,False,18
39,0.3507443988739058,0.6615185737609863,False,18
40,0.34968125958775365,0.6569842100143433,False,18
41,0.34930459254009777,0.6546498537063599,False,18
42,0.34883620537990745,0.6545146107673645,False,18
43,0.3482931536990543,0.6554847955703735,False,18
44,0.34824230262013367,0.662338376045227,False,18
45,0.34790474401656973,0.6724658608436584,False,18
46,0.3488045636304589,0.6645829081535339,False,18
47,0.3465507567621941,0.6599364280700684,False,18
48,0.3482666466125222,0.6710389256477356,False,18
49,0.3489983393702396,0.6605316996574402,False,18
50,0.3466880428929662,0.6750871539115906,False,18
51,0.3455977942361388,0.6689236164093018,False,18
52,0.34506425226843634,0.6700249910354614,False,18
53,0.3450218522271445,0.6784340143203735,False,18
54,0.34566174066343974,0.6740706562995911,False,18
55,0.34430543246657347,0.6809906363487244,False,18
56,0.3456862606974535,0.6850992441177368,False,18
57,0.3454372513779374,0.6789793968200684,False,18
58,0.34437997569871504,0.6684442162513733,False,18
